source_name,source_link,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,Date,Time,year,month
Yahoo News,https://in.news.yahoo.com/3-killed-7-injured-landslide-091708694.html,25km,landslide,,medium,above_road,3.0,7.0,,,,,,,75.678275,33.153219,2017-04-02,12:57:00,2017,4
Brighter Kashmir,http://brighterkashmir.com/residential-houses-damaged-in-langate-landslide/,5km,landslide,rain,small,natural_slope,0.0,0.0,,,,,,,74.26149296,34.40393623,2017-04-07,13:19:00,2017,4
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/239706.html,5km,landslide,rain,medium,above_road,,,,,,,,,75.21401709,33.24788762,2017-01-26,14:49:00,2017,1
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/239706.html,1km,landslide,rain,unknown,above_road,0.0,0.0,,,,,,,75.17291044,33.36011691,2017-01-26,14:49:00,2017,1
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/242033.html,5km,landslide,continuous_rain,unknown,above_road,0.0,0.0,,,,,,,74.58081937,34.07756418,2017-02-23,22:45:00,2017,2
State Times,https://news.statetimes.in/landslide-shuts-batote-doda-kishtwar-nh/,10km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,75.40856188,33.12172879,2017-04-08,13:19:00,2017,4
Dawn,https://www.dawn.com/news/1307076/constable-among-two-killed-in-karak,1km,landslide,mining,small,mine,1.0,0.0,,,,,,,71.27227905,33.33074507,2017-01-07,16:07:00,2017,1
ReliefWeb,https://reliefweb.int/report/pakistan/pakistan-pdma-kp-special-report-avalanchelandslide-incidents-district-chital-period,5km,landslide,snowfall_snowmelt,unknown,unknown,1.0,3.0,,,,,,,72.23157,36.269037,2017-02-17,20:51:00,2017,2
The Express Tribune,https://tribune.com.pk/story/1376728/snow-rain-april-six-injured-g-b-landslides/,50km,rock_fall,rain,small,above_road,0.0,5.0,,,,,,,73.29837013,36.21630141,2017-04-06,13:19:00,2017,4
The Times of India,http://timesofindia.indiatimes.com/city/chandigarh/jcb-helper-dies-in-landslide/articleshow/57782019.cms,5km,landslide,construction,small,retaining_wall,1.0,,,,,,,,77.30471357,31.77315744,2017-03-22,19:32:00,2017,3
State Times,https://news.statetimes.in/landslide-shuts-batote-doda-kishtwar-nh/,10km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,75.40856188,33.12172879,2017-04-08,13:19:00,2017,4
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/247511.html,1km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,75.81074366,33.17191499,2017-04-25,17:58:00,2017,4
ChandigarhX,http://chandigarhx.com/landslide-in-shimla-new-bus-stand-area-is-closed/,exact,landslide,continuous_rain,medium,below_road,0.0,0.0,,,,,,,77.15163968,31.09793945,2017-04-06,13:19:00,2017,4
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/248568.html,10km,landslide,rain,small,above_road,0.0,0.0,,,,,,,75.19281971,33.32217847,2017-05-05,13:22:00,2017,5
NDTV,http://www.ndtv.com/india-news/jawan-dies-after-falling-down-70-foot-gorge-during-landslide-1622556,5km,landslide,,medium,natural_slope,1.0,0.0,,,,,,,75.54564,33.144018,2017-07-12,14:00:00,2017,7
The Express Tribune,https://tribune.com.pk/story/1375746/five-killed-karachi-landslide/,1km,rock_fall,unknown,medium,urban,5.0,3.0,,,,,,,66.97197288,24.93295141,2017-04-06,13:19:00,2017,4
Chandigarh Metro,https://chandigarhmetro.com/manali-rohtang-highway-blocked-landslide/,1km,landslide,snowfall_snowmelt,small,above_road,0.0,0.0,,,,,,,77.23398736,32.3614925,2017-04-23,17:58:00,2017,4
The Indian Express,http://indianexpress.com/article/trending/viral-videos-trending/watch-dramatic-moment-when-a-overloaded-truck-overturns-in-pakistan-4717361/,10km,landslide,rain,medium,below_road,0.0,0.0,,,,,,,73.75421332,34.17504678,2017-06-23,13:16:00,2017,6
Greater Kashmir,http://www.greaterkashmir.com/news/jammu/landslides-kill-2-teenage-girls-in-kishtwar/244688.html,5km,landslide,other,small,natural_slope,2.0,0.0,,,,,,,75.68061125,33.40307977,2017-03-25,17:32:00,2017,3
